Sample,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,Total
Sample 1,50.36,1.36,17.26,9.24,0.16,8.70,9.35,3.09,0.48,100.0
Sample 2,50.36,1.68,18.01,7.93,0.15,7.82,10.18,3.38,0.48,100.0
Sample 3,50.32,1.27,19.43,8.35,0.15,6.74,9.96,3.28,0.49,100.0
Sample 4,50.56,1.45,18.31,7.84,0.15,6.80,10.87,3.49,0.53,100.0
Sample 5,50.68,1.60,18.32,9.36,0.17,5.48,10.38,3.55,0.46,100.0
Sample 6,50.83,0.92,18.65,6.91,0.12,8.23,10.47,3.01,0.87,100.0
Sample 7,50.96,1.27,18.57,8.53,0.15,6.40,10.24,3.38,0.50,100.0
Sample 8,51.33,1.36,17.98,8.65,0.16,6.44,9.88,3.53,0.65,100.0
Sample 9,51.41,1.29,18.49,7.58,0.16,7.47,9.45,3.48,0.68,100.0
Sample 10,51.33,1.26,17.69,8.42,0.15,7.45,9.70,3.37,0.61,100.0
Sample 11,51.83,1.36,17.26,8.76,0.16,6.27,10.09,3.63,0.65,100.0
Sample 12,52.52,1.27,17.17,8.35,0.15,7.20,9.18,3.32,0.85,100.0
Sample 13,52.85,1.75,17.46,8.82,0.17,5.69,8.72,3.95,0.60,100.0
Sample 14,53.00,1.27,18.64,7.49,0.15,5.83,9.09,3.68,0.85,100.0
Sample 15,53.07,1.41,17.28,8.02,0.17,5.48,9.19,4.24,1.15,100.0
Sample 16,53.11,1.44,18.85,7.59,0.15,5.17,8.61,3.86,1.22,100.0
Sample 17,53.17,1.19,18.99,6.75,0.14,5.61,8.73,3.94,1.47,100.0
Sample 18,53.99,1.25,18.34,7.06,0.14,6.25,8.26,3.69,1.03,100.0
Sample 19,54.00,1.29,18.13,7.54,0.15,5.41,8.57,3.87,1.04,100.0
Sample 20,54.87,1.45,17.91,7.34,0.15,4.68,8.03,4.12,1.45,100.0
Sample 21,54.73,1.14,17.31,7.13,0.15,6.60,7.93,3.93,1.08,100.0
Sample 22,54.92,1.44,17.62,7.29,0.15,5.01,8.45,3.92,1.22,100.0
Sample 23,55.21,1.14,17.33,7.27,0.14,5.08,8.42,4.20,1.20,100.0
Sample 24,55.55,1.24,17.60,7.10,0.15,4.96,8.17,3.98,1.25,100.0
Sample 25,55.74,1.16,16.72,7.20,0.13,5.54,8.20,3.98,1.32,100.0
Sample 26,55.71,0.75,16.63,6.86,0.13,6.72,8.88,3.02,1.29,100.0
Sample 27,56.44,1.63,16.88,7.91,0.15,3.98,7.30,4.26,1.45,100.0
Sample 28,56.80,1.67,16.82,7.72,0.15,3.64,7.02,4.50,1.69,100.0
Sample 29,56.75,1.28,17.54,7.45,0.15,4.00,7.15,4.13,1.55,100.0
Sample 30,57.39,1.50,17.32,7.91,0.15,3.51,6.46,4.14,1.63,100.0
Sample 31,58.36,1.24,16.35,6.79,0.14,4.10,6.89,4.25,1.88,100.0
Sample 32,59.18,1.40,16.97,6.76,0.15,2.93,5.92,4.62,2.07,100.0
Sample 33,60.06,1.27,17.07,6.35,0.13,2.66,5.25,4.76,2.45,100.0
Sample 34,67.05,0.78,15.98,3.45,0.09,0.90,2.48,5.45,3.81,100.0
Sample 35,67.72,0.59,16.11,3.30,0.10,0.85,2.26,5.19,3.88,100.0
Sample 36,69.75,0.54,15.27,2.96,0.10,0.55,2.01,5.78,3.04,100.0
Sample 37,71.54,0.32,14.87,2.33,0.08,0.34,1.18,5.42,3.92,100.0
Sample 38,71.85,0.23,15.29,1.51,0.05,0.26,0.89,5.06,4.84,100.0
Sample 39,72.62,0.23,14.90,1.82,0.06,0.23,0.88,4.95,4.30,100.0
Sample 40,72.82,0.20,14.39,1.60,0.04,0.25,0.84,5.09,4.76,100.0
Sample 41,72.80,0.22,14.33,2.03,0.06,0.18,0.85,5.31,4.21,100.0
Sample 42,72.87,0.21,15.21,1.87,0.06,0.21,0.80,4.65,4.12,100.0
Sample 43,73.16,0.24,14.30,1.64,0.05,0.25,0.98,4.99,4.38,100.0
Sample 44,73.20,0.23,14.10,2.06,0.06,0.19,0.85,5.26,4.04,100.0
Sample 45,73.38,0.21,14.68,1.81,0.04,0.15,0.91,4.79,4.03,100.0
Sample 46,73.88,0.20,14.04,1.61,0.05,0.24,0.85,4.73,4.39,100.0