Sample,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,Total
Sample 1,51.65,0.68,20.66,7.31,0.13,5.32,11.76,2.20,0.29,100.0
Sample 2,51.57,0.66,19.83,7.54,0.14,6.25,11.70,2.15,0.16,100.0
Sample 3,51.49,0.73,19.60,7.95,0.15,6.11,11.48,2.21,0.27,100.0
Sample 4,51.61,0.63,18.38,7.23,0.14,8.09,11.61,1.97,0.34,100.0
Sample 5,52.72,0.76,18.36,7.69,0.15,7.93,9.38,2.51,0.49,100.0
Sample 6,52.17,0.63,19.14,7.57,0.14,6.60,11.38,2.06,0.30,100.0
Sample 7,52.89,0.69,20.28,7.57,0.13,4.13,11.31,2.47,0.54,100.0
Sample 8,53.21,0.75,19.38,8.18,0.15,4.75,10.80,2.45,0.33,100.0
Sample 9,53.36,0.80,18.39,8.18,0.15,5.79,10.29,2.52,0.53,100.0
Sample 10,54.29,0.69,18.90,7.05,0.13,5.28,10.66,2.45,0.55,100.0
Sample 11,54.93,0.85,19.62,7.84,0.14,3.49,9.67,2.91,0.55,100.0
Sample 12,54.52,0.75,18.34,7.86,0.15,5.21,9.94,2.70,0.53,100.0
Sample 13,55.04,0.81,17.58,7.96,0.15,5.48,9.65,2.73,0.61,100.0
Sample 14,55.26,0.87,17.69,8.04,0.15,5.05,9.48,2.79,0.67,100.0
Sample 15,56.40,0.86,17.45,8.02,0.15,4.64,8.89,2.92,0.67,100.0
Sample 16,57.46,1.02,17.00,8.27,0.15,3.75,8.29,3.12,0.93,100.0
Sample 17,59.59,0.92,18.24,6.49,0.15,2.73,7.34,3.69,0.85,100.0
Sample 18,58.73,1.13,16.30,8.78,0.17,3.28,7.19,3.57,0.84,100.0
Sample 19,59.84,1.18,16.24,8.25,0.15,2.81,6.20,3.93,1.40,100.0
Sample 20,61.27,0.95,17.52,6.28,0.18,2.36,5.95,4.61,0.88,100.0
Sample 21,63.26,0.93,15.94,6.24,0.14,2.41,5.54,4.11,1.43,100.0
Sample 22,63.80,1.03,15.80,6.74,0.16,1.98,5.05,4.15,1.29,100.0
Sample 23,66.12,0.96,15.00,5.88,0.13,1.46,4.10,4.56,1.80,100.0
Sample 24,66.12,0.96,15.03,5.86,0.13,1.46,4.14,4.51,1.79,100.0
Sample 25,66.54,0.88,15.36,5.32,0.15,1.19,3.71,4.88,1.98,100.0
Sample 26,67.75,0.91,14.86,4.85,0.14,1.27,3.64,4.77,1.80,100.0
Sample 27,68.86,0.69,15.31,4.52,0.12,0.77,2.94,4.61,2.16,100.0
Sample 28,70.31,0.62,14.95,3.77,0.11,0.72,2.59,4.82,2.10,100.0